sample	energy	num_occurrences	chain_break_fraction
000101000000110000100010000000011100101100110011101110001110000001010101010000010101001000111100011100000010101010001100110011101000001001100010001010	377.54748	1	0.58
000101100000010000100010000000111100101100110011101110000110000001010101010000010111001000111100011100000010001010001000010011101000001100100010101000	403.29563000000013	1	0.58
000101000000110000100010000000111100101100110011101110001110000001010101010000010101001000101100011100000010001010001000110011101000001100100010001000	404.63828000000063	1	0.6
100101000000010000100010000000111100101100110010101110001110000001010101010000110101001000111100011100000010001010001100010011101000001100100010001000	405.5489300000007	1	0.6
000101000000110000100011000000111100101100110011101110000110000001011001010000010101001000111100011100100010001010001100110011101000001101100010101000	408.5335599999996	1	0.5666666666666667
000101000000110000100010000000011100101100110011101110001110000001010101010000110101001000111100011100000010001010001100010011101000001100100011101000	409.59027999999984	1	0.6
000101000000010000100011000000111100101100110011101110000110000001010101010000110101001000111100011100000010101010001100110011101000001100100010001000	409.6120600000008	1	0.6066666666666667
000101000000010000100010000000011100101100110011101110001110000001010101010000010101001000111100111100000010101010001000110011101000001100100000001000	434.55292000000054	1	0.6133333333333333
000101001000010000100000000000111100101100110011101110001110000001010101010000010101001000111100011100000010100010001100110011101000001101100010001000	436.55217000000016	1	0.5933333333333334
000101000000110000100010000000111100101100110010101110001110000011010101110000010100001000111100011100000010101010001100110011101000001101100010001000	439.06670000000054	1	0.6
000101000000110000100011000000111100101100110011101110001110000001011101010000010101001000111100011100000010001010001100010011101000001101101010001000	439.62668000000025	1	0.64
000101000000110000100011000000111100101100110011101110000110000001010101010000110111001000111100111100000010000110001100110011101000001101100010001000	443.5212400000005	1	0.6133333333333333
000101000100010000100010000000111100101100110011101110000110000001010101010000010101001000111100011100000010001010001000110011101000001101100010001000	462.27506000000034	1	0.5933333333333334
000101000001010000100010000000011100101100110011101110100110000001010101010000010101001000111100011100000010001010001100110011101000001101100010001000	462.81123000000053	1	0.6133333333333333
000101000000010000100010000000011100101100110011101110001110000001010101010000010111001000111100011100000010001010001000110011101000001100100010101000	463.32002000000085	1	0.6
000101000000110000100010000000011100101100110011101110001110000001010101010000010101001000111100011100000010101010001000110011101000001101100010001000	463.56149000000056	2	0.58
000101000000110000100010000000011100101100110011101110101110000001010101010000010101001000111100011100000010001010001000110011101000001101100010001000	463.9855300000006	1	0.6133333333333333
100101000000110000100010000000011100101100110011101110001110000011010101010000010101001000111100011100000010101010001000110011101000001100100010001000	464.64865000000106	1	0.62
000101000000110000100010000000011100101100110011101110001110000001010101010000010111001000111100011100000010000010001000110011101000001100100010101000	465.1761800000006	1	0.5866666666666667
000101000000010000100010000000111100101100110011101110001110000001010101010000010111001000111100011100000010001010001000010011101000001100100011101000	465.35042000000027	1	0.6066666666666667
