0	0	16.7682
1	1	69.0728
2	2	39.5152
3	3	160.061
4	4	14.8802
5	5	61.5206
6	6	28.4384
7	7	115.754
8	8	23.637
9	9	96.5479
10	10	16.8745
11	11	69.4981
12	12	23.8395
13	13	97.3581
14	14	25.4906
15	15	103.962
16	16	37.2164
17	17	150.866
18	18	16.6964
19	19	68.7856
20	20	17.8419
21	21	73.3676
22	22	21.1335
23	23	86.5338
24	24	12.382
25	25	51.5279
26	26	54.1307
27	27	218.523
28	28	13.233
29	29	54.9321
30	30	13.3071
31	31	55.2282
32	32	9.90139
33	33	41.6055
34	34	35.0605
35	35	142.242
36	36	16.6536
37	37	68.6143
