sample	energy	num_occurrences	chain_break_fraction
00000000000000000000000000000000000000	0.0	1	0.05263157894736842
00000000000000000000001000000000000000	15.7912	1	0.05263157894736842
00000000000000000000000000100000000000	16.3898	1	0.05263157894736842
00000000000000100000000000000000000000	18.1447	1	0.05263157894736842
00000000000000000000000000000000100000	19.4297	1	0.05263157894736842
00000000100000000000000000000000000000	22.4643	1	0.02631578947368421
00000000000000000010000000000000000000	24.0052	1	0.02631578947368421
00000000000000100000001000000000000000	35.153650000000006	1	0.05263157894736842
00000000000000000010100000000000000000	35.94137	1	0.0
00000000000000100000100000000000000000	37.44022	2	0.02631578947368421
00000000000000000000101000000000000000	39.3277	1	0.05263157894736842
00000000000000000000000000001000000000	39.3551	1	0.0
00000000000000000000001000100000000000	39.774789999999996	3	0.02631578947368421
00000000000000000000100000000000100000	39.92668	1	0.05263157894736842
00000000000000000000000000000000000010	40.4068	1	0.02631578947368421
00000000100000000000100000000000000000	45.1238	1	0.02631578947368421
00000000000000000010001000000000000000	45.3273	2	0.02631578947368421
00000000000000000000001000000000100000	45.3446	1	0.05263157894736842
00100000000000000000000000000000000000	45.9996	2	0.05263157894736842
10000000000000000000001000000000000000	46.6839	1	0.05263157894736842
