14	53	16.0061
17	44	16
2	23	16
20	53	16
2	11	16
5	50	16
2	41	16
11	41	16
14	20	16
11	38	16
8	44	-16
23	35	-16
23	26	-16
23	38	16
23	41	16
22	23	16
20	56	-16
23	44	-16
23	29	-16
20	50	16
20	41	-16
20	44	16
4	5	16
20	38	-16
20	35	16
20	32	-16
20	29	16
20	26	16
20	23	-16
5	8	-16
5	11	-16
5	14	16
5	17	16
5	20	16
5	23	-16
20	47	-16
23	47	16
55	56	16
23	53	-16
29	56	-16
2	35	-16
29	53	16
2	38	16
29	50	16
29	47	-16
2	44	-16
29	44	16
2	47	16
29	41	-16
2	50	-16
29	38	-16
2	53	-16
29	35	16
23	50	-16
2	56	16
28	29	16
26	56	-16
26	53	16
26	50	16
26	47	-16
26	44	16
26	41	-16
26	38	-16
26	35	16
26	32	-16
26	29	16
25	26	16
23	56	16
5	26	16
29	32	-16
19	20	16
17	53	16
17	56	-16
11	56	16
11	53	-16
11	50	-16
11	47	16
11	44	-16
11	35	-16
11	32	16
11	29	-16
11	26	-16
11	23	16
11	20	-16
11	17	-16
11	14	-16
8	11	16
8	14	-16
8	17	-16
8	20	-16
8	23	16
8	26	-16
8	29	-16
10	11	16
8	32	16
8	56	16
8	35	-16
8	53	-16
8	38	16
8	50	-16
8	41	16
8	47	16
13	14	16
14	17	16
7	8	16
14	23	-16
5	32	-16
2	32	16
5	35	16
17	50	16
5	38	-16
17	47	-16
5	41	-16
5	44	16
17	41	-16
5	47	-16
17	38	-16
17	35	16
5	53	16
17	32	-16
5	29	16
5	56	-16
17	26	16
17	23	-16
17	20	16
16	17	16
14	56	-16
14	50	16
14	47	-16
14	44	16
14	41	-16
14	38	-16
14	35	16
14	32	-16
14	29	16
14	26	16
17	29	16
31	32	16
23	32	16
38	41	16
35	53	16
41	50	-16
35	50	16
47	56	16
41	53	-16
2	8	16
35	47	-16
41	56	16
35	44	16
32	41	16
35	41	-16
2	5	-16
44	56	-16
47	53	-16
32	44	-16
35	38	-16
1	2	16
32	47	16
47	50	-16
44	47	-16
44	50	16
32	50	-16
34	35	16
32	56	16
44	53	16
32	53	-16
43	44	16
49	50	16
35	56	-16
46	47	16
52	53	16
38	50	-16
38	47	16
2	20	-16
50	56	-16
41	47	16
38	56	16
38	44	-16
38	53	-16
50	53	16
2	17	-16
37	38	16
2	14	-16
32	35	-16
41	44	-16
40	41	16
53	56	-16
32	38	16
2	29	-16
2	26	-16
13	53	8.00304
14	52	8.00304
16	44	8
17	43	8
1	23	8
2	22	8
19	53	8
20	52	8
1	11	8
2	10	8
4	50	8
5	49	8
1	41	8
2	40	8
10	41	8
11	40	8
14	19	8
13	20	8
11	37	8
10	38	8
16	20	8
41	43	-8
49	56	-8
16	26	8
15	17	8
16	29	8
10	17	-8
10	20	-8
16	23	-8
14	55	-8
49	53	8
10	23	8
10	26	-8
10	29	-8
14	49	8
41	49	-8
14	46	-8
10	32	8
48	50	8
14	43	8
41	52	-8
10	35	-8
41	46	8
16	32	-8
46	50	-8
54	56	8
8	49	-8
53	55	-8
52	56	-8
40	44	-8
8	52	-8
17	31	-8
40	47	8
51	53	8
17	28	8
8	55	8
40	50	-8
16	35	8
17	25	8
40	53	-8
9	11	8
17	22	-8
40	56	8
50	52	8
17	19	8
16	56	-8
16	53	8
16	50	8
16	47	-8
10	14	-8
50	55	-8
16	41	-8
14	37	-8
11	31	8
13	29	8
13	26	8
11	16	-8
13	23	-8
13	17	8
44	46	-8
12	14	8
11	19	-8
11	55	8
44	49	8
11	52	-8
13	32	-8
47	49	-8
11	49	-8
44	52	8
11	46	8
46	56	8
11	25	-8
11	43	-8
44	55	-8
46	53	-8
11	28	-8
45	47	8
11	34	-8
11	22	8
14	40	-8
13	35	8
13	41	-8
10	44	-8
41	55	8
14	34	8
47	55	8
10	47	8
14	31	-8
42	44	8
14	28	8
10	50	-8
10	53	-8
10	56	8
13	38	-8
14	25	8
43	47	-8
14	22	-8
43	50	8
43	53	8
43	56	-8
14	16	8
13	56	-8
47	52	-8
13	50	8
13	47	-8
13	44	8
11	13	-8
17	34	8
30	32	8
17	37	-8
26	43	8
32	46	8
26	40	-8
26	37	-8
32	49	-8
26	34	8
26	31	-8
32	52	-8
26	28	8
25	56	-8
25	53	8
25	50	8
25	47	-8
25	44	8
26	46	-8
25	41	-8
25	35	8
25	32	-8
25	29	8
24	26	8
32	55	8
23	55	8
23	52	-8
33	35	8
23	49	-8
34	38	-8
23	46	8
34	41	-8
23	43	-8
34	44	8
25	38	-8
32	43	-8
26	49	8
26	52	8
31	35	-8
31	38	8
29	55	-8
31	41	8
29	52	8
31	44	-8
31	47	8
29	49	8
31	50	-8
29	46	-8
31	53	-8
29	43	8
31	56	8
32	34	-8
29	40	-8
29	37	-8
32	37	8
26	55	-8
32	40	8
27	29	8
28	32	-8
28	35	8
28	38	-8
23	40	8
28	41	-8
28	47	-8
28	50	8
28	53	8
28	56	-8
29	31	-8
29	34	8
28	44	8
34	47	-8
23	37	8
34	50	8
20	22	-8
19	56	-8
36	38	8
19	50	8
19	47	-8
19	44	8
19	41	-8
19	38	-8
19	35	8
37	41	8
19	32	-8
19	29	8
37	44	-8
19	26	8
19	23	-8
37	47	8
37	50	-8
38	55	8
17	40	-8
38	52	-8
38	49	-8
17	46	-8
38	46	8
35	55	-8
17	49	8
17	52	8
38	40	8
17	55	-8
37	56	8
37	53	-8
18	20	8
38	43	-8
39	41	8
20	25	8
35	52	8
23	34	-8
23	31	8
34	53	8
23	28	-8
34	56	-8
23	25	-8
22	56	8
22	53	-8
22	50	-8
22	47	8
22	44	-8
22	41	8
22	38	8
22	35	-8
22	32	8
22	29	-8
22	26	-8
20	31	-8
20	34	8
35	49	8
20	37	-8
20	40	-8
35	46	-8
20	28	8
20	43	8
35	43	8
20	49	8
35	40	-8
20	55	-8
21	23	8
35	37	-8
20	46	-8
8	46	8
16	38	-8
8	43	-8
1	35	-8
4	20	8
7	35	-8
1	32	8
7	38	8
7	41	8
4	23	-8
1	26	-8
7	44	-8
7	47	8
4	26	8
7	50	-8
7	53	-8
1	20	-8
7	32	8
4	29	8
1	17	-8
8	10	8
4	32	-8
1	14	-8
8	13	-8
1	8	8
8	16	-8
6	8	8
1	5	-8
8	19	-8
5	55	-8
5	52	8
8	22	8
5	46	-8
7	56	8
4	17	8
1	38	8
7	29	-8
3	5	8
