0	1	2
8	9	2
10	11	2
12	13	2
34	35	2
14	15	2
16	17	2
6	7	2
18	19	2
22	23	2
24	25	2
26	27	2
28	29	2
30	31	2
32	33	2
20	21	2
4	5	2
36	37	2
2	3	2
5	31	0.000497641
5	21	0.000458407
5	19	0.000299417
5	30	0.00024882
4	31	0.00024882
23	31	0.000234128
4	21	0.000229204
5	20	0.000229204
5	11	0.000161095
5	18	0.000149708
4	19	0.000149708
4	30	0.00012441
23	30	0.000117064
22	31	0.000117064
4	20	0.000114602
5	10	8.05475e-05
4	11	8.05475e-05
4	18	7.48542e-05
3	17	5.95728e-05
22	30	5.85319e-05
4	10	4.02738e-05
21	31	3.0958e-05
3	16	2.97864e-05
2	17	2.97864e-05
11	19	1.5507e-05
20	31	1.5479e-05
21	30	1.5479e-05
2	16	1.48932e-05
11	21	1.26243e-05
19	31	1.22121e-05
3	35	1.04485e-05
10	19	7.75349e-06
11	18	7.75349e-06
20	30	7.7395e-06
10	21	6.31216e-06
11	20	6.31216e-06
19	30	6.10603e-06
18	31	6.10603e-06
3	34	5.22425e-06
2	35	5.22425e-06
10	18	3.87674e-06
9	27	3.22948e-06
10	20	3.15608e-06
18	30	3.05302e-06
2	34	2.61213e-06
19	21	2.40125e-06
9	26	1.61474e-06
8	27	1.61474e-06
19	20	1.20062e-06
18	21	1.20062e-06
8	26	8.07371e-07
17	27	7.9276e-07
18	20	6.00312e-07
13	37	5.70461e-07
13	27	4.6143e-07
16	27	3.9638e-07
17	26	3.9638e-07
12	37	2.85231e-07
13	36	2.85231e-07
13	35	2.70361e-07
3	13	2.53034e-07
3	27	2.51062e-07
9	17	2.33566e-07
12	27	2.30715e-07
13	26	2.30715e-07
16	26	1.9819e-07
17	35	1.90178e-07
12	36	1.42615e-07
13	34	1.35181e-07
12	35	1.35181e-07
2	13	1.26517e-07
3	12	1.26517e-07
3	26	1.25531e-07
2	27	1.25531e-07
8	17	1.16783e-07
9	16	1.16783e-07
12	26	1.15358e-07
16	35	9.50891e-08
17	34	9.50891e-08
13	17	6.87387e-08
12	34	6.75903e-08
2	12	6.32585e-08
2	26	6.27655e-08
8	16	5.83916e-08
27	35	5.14544e-08
16	34	4.75446e-08
13	16	3.43694e-08
12	17	3.43694e-08
17	37	2.78523e-08
26	35	2.57272e-08
27	34	2.57272e-08
27	37	2.51038e-08
11	31	2.0096e-08
12	16	1.71847e-08
17	36	1.39261e-08
16	37	1.39261e-08
26	34	1.28636e-08
26	37	1.25519e-08
27	36	1.25519e-08
21	23	1.04309e-08
10	31	1.0048e-08
11	30	1.0048e-08
