sample	energy	num_occurrences	chain_break_fraction
00000001010101100011010100100111011110	3.04478000000001	1	0.2894736842105263
01010001010101100011010100100111011110	3.0508800000000207	1	0.3157894736842105
00000101010101100011010100100111010110	4.047080000000022	1	0.3157894736842105
01000001010101100011010100100111010110	4.047980000000038	2	0.3157894736842105
00000001010101100011010100100111011100	6.016310000000011	1	0.3157894736842105
01000001010101100011010101100111011100	6.024610000000024	1	0.3157894736842105
01000001110101100011110100100111010110	7.059049999999996	1	0.34210526315789475
01000001010101100011110100100111011110	7.0613000000000135	1	0.42105263157894735
01000001010101100011010100100111010100	12.01951000000004	1	0.3157894736842105
00000101110101100011010100100111010110	13.047730000000001	2	0.34210526315789475
00000101010101100011010100100111011110	13.04858000000003	2	0.39473684210526316
01000001110101100011010100100111010110	13.048630000000017	4	0.3157894736842105
01000001010101100011010100100111011110	13.050880000000035	17	0.3684210526315789
10111111001010011100001011011000101001	14.010239999999996	1	0.3157894736842105
00000101110101100111010100100111011100	15.020769999999985	1	0.3157894736842105
01000001110101100011010101100111011100	15.025270000000006	1	0.3157894736842105
00000001010101100011010100110111011110	15.044980000000024	1	0.3684210526315789
01000001110101100011110100100111011110	16.061959999999996	1	0.39473684210526316
10111110101010011100001011011000101001	24.010569999999994	1	0.3157894736842105
01000001010101100001010100100111011110	24.047710000000023	1	0.42105263157894735
