9	21	4.08577
31	33	4.07403
11	37	4.07357
9	23	4.06552
25	29	4.06147
15	37	4.02666
17	35	4.01394
13	25	4.00427
29	33	4.0028
25	31	4.00246
25	33	4.00239
21	23	4.00227
19	33	4.00225
13	35	4.00218
5	23	4.00134
1	33	4.00106
5	7	4.00089
1	31	4.00074
5	11	4.00064
11	21	4.00058
13	17	4.00055
29	31	4.00048
1	29	4.00043
9	11	4.00043
19	29	4.00022
1	25	4.00017
11	15	4.00014
13	29	4.00013
19	25	4.00004
21	37	4.00003
11	23	4.00003
19	31	4.00002
25	35	4.00001
5	21	4.00001
9	37	4.00001
5	9	4
5	37	4
5	33	-4
7	23	4
17	25	4
1	13	4
29	35	4
13	33	4
3	37	4
13	31	4
17	29	4
1	19	4
15	21	4
17	19	4
1	5	-4
5	31	-4
3	15	4
19	35	4
33	35	4
23	37	4
5	15	4
31	35	4
13	19	4
11	33	-4
33	37	-4
5	19	-4
21	33	-4
9	15	4
3	11	4
7	33	-4
7	11	4
5	29	-4
11	31	-4
25	37	-4
31	37	-4
17	33	4
23	33	-4
17	31	4
29	37	-4
21	25	-4
7	31	-4
21	31	-4
5	25	-4
1	7	-4
19	37	-4
7	21	4
1	37	-4
21	29	-4
7	9	4
15	33	-4
1	11	-4
15	25	-4
23	31	-4
19	23	-4
1	35	4
11	25	-4
9	33	-4
1	23	-4
11	19	-4
23	29	-4
15	23	4
19	21	-4
7	29	-4
1	21	-4
11	29	-4
15	31	-4
1	3	-4
1	17	4
3	33	-4
7	25	-4
15	29	-4
3	31	-4
15	19	-4
9	19	-4
3	21	4
1	15	-4
23	25	-4
9	31	-4
7	37	4
7	19	-4
23	27	4
9	25	-4
9	29	-4
1	9	-4
5	13	-4
7	15	4
21	27	4
7	13	-4
13	37	-4
3	5	4
9	27	4
3	25	-4
11	13	-4
3	29	-4
3	9	4
13	23	-4
13	21	-4
27	37	4
3	19	-4
5	27	4
13	15	-4
26	27	4
7	27	4
5	17	-4
30	31	4
23	35	-4
28	29	4
7	17	-4
27	35	-4
24	25	4
27	33	-4
27	31	-4
27	29	-4
5	35	-4
32	33	4
34	35	4
6	7	4
25	27	-4
14	15	4
7	35	-4
15	17	-4
13	27	-4
15	27	4
12	13	4
15	35	-4
11	35	-4
16	17	4
17	21	-4
11	27	4
17	23	-4
17	27	-4
17	37	-4
18	19	4
19	27	-4
11	17	-4
35	37	-4
10	11	4
