0	1	2
44	45	2
46	47	2
48	49	2
50	51	2
52	53	2
54	55	2
42	43	2
56	57	2
60	61	2
62	63	2
64	65	2
66	67	2
68	69	2
70	71	2
58	59	2
40	41	2
38	39	2
36	37	2
6	7	2
8	9	2
10	11	2
12	13	2
14	15	2
16	17	2
18	19	2
20	21	2
22	23	2
24	25	2
26	27	2
28	29	2
30	31	2
32	33	2
34	35	2
72	73	2
74	75	2
76	77	2
78	79	2
118	119	2
120	121	2
122	123	2
124	125	2
126	127	2
128	129	2
130	131	2
132	133	2
134	135	2
136	137	2
138	139	2
140	141	2
142	143	2
144	145	2
146	147	2
116	117	2
4	5	2
114	115	2
110	111	2
80	81	2
82	83	2
84	85	2
86	87	2
88	89	2
90	91	2
92	93	2
94	95	2
96	97	2
98	99	2
100	101	2
102	103	2
104	105	2
106	107	2
108	109	2
112	113	2
2	3	2
148	149	2
51	93	1.19216
105	117	1.14105
7	31	0.882666
131	149	0.832796
45	127	0.751005
51	53	0.691633
53	93	0.637564
50	93	0.596078
51	92	0.596078
104	117	0.570523
105	116	0.570523
3	117	0.458299
6	31	0.441333
7	30	0.441333
7	127	0.426489
93	97	0.421272
130	149	0.416398
131	148	0.416398
44	127	0.375502
45	126	0.375502
50	53	0.345817
51	52	0.345817
53	92	0.318782
52	93	0.318782
51	97	0.300073
50	92	0.298039
71	103	0.294086
105	111	0.289835
104	116	0.285262
81	141	0.233345
3	116	0.22915
2	117	0.22915
6	30	0.220667
31	127	0.216839
17	53	0.214589
6	127	0.213244
7	126	0.213244
92	97	0.210636
93	96	0.210636
130	148	0.208199
11	115	0.196745
29	109	0.189282
44	126	0.187751
1	149	0.186557
49	101	0.176959
50	52	0.172908
33	101	0.16187
49	145	0.160543
52	92	0.159391
77	89	0.155881
51	96	0.150037
50	97	0.150037
71	102	0.147043
70	103	0.147043
104	111	0.144917
105	110	0.144917
21	93	0.129599
31	137	0.123511
17	93	0.119865
77	113	0.117029
80	141	0.116673
81	140	0.116673
2	116	0.114575
3	105	0.113839
7	45	0.112474
19	25	0.108647
30	127	0.108419
31	126	0.108419
17	52	0.107295
16	53	0.107295
6	126	0.106622
92	96	0.105318
101	145	0.105111
21	97	0.103245
11	114	0.0983724
10	115	0.0983724
29	108	0.0946412
28	109	0.0946412
53	97	0.0936565
0	149	0.0932785
1	148	0.0932785
73	95	0.0915608
17	51	0.0905371
48	101	0.0884795
49	100	0.0884795
29	41	0.0837092
32	101	0.080935
33	100	0.080935
49	144	0.0802717
48	145	0.0802717
63	103	0.0795452
76	89	0.0779407
77	88	0.0779407
103	113	0.0770581
21	47	0.0769195
63	71	0.075734
21	53	0.0755705
50	96	0.0750184
70	102	0.0735214
104	110	0.0724586
20	93	0.0647996
21	92	0.0647996
95	127	0.0628662
31	136	0.0617556
30	137	0.0617556
17	92	0.0599326
16	93	0.0599326
76	113	0.0585146
77	112	0.0585146
80	140	0.0583363
2	105	0.0569195
3	104	0.0569195
7	44	0.0562369
6	45	0.0562369
47	93	0.0547419
18	25	0.0543236
19	24	0.0543236
30	126	0.0542097
16	52	0.0536473
100	145	0.0525555
101	144	0.0525555
7	137	0.0522605
17	97	0.0521429
21	96	0.0516224
20	97	0.0516224
21	51	0.0496623
10	114	0.0491862
28	108	0.0473206
52	97	0.0468282
53	96	0.0468282
71	95	0.0468172
0	148	0.0466392
73	94	0.0457804
72	95	0.0457804
17	50	0.0452686
16	51	0.0452686
31	45	0.0445872
48	100	0.0442398
39	147	0.0421941
28	41	0.0418546
29	40	0.0418546
9	43	0.0415732
95	131	0.0413054
47	51	0.040861
32	100	0.0404675
48	144	0.0401359
63	77	0.0397893
33	129	0.0397837
62	103	0.0397726
63	102	0.0397726
71	149	0.0396285
76	88	0.0389704
1	73	0.0385328
103	112	0.0385291
102	113	0.0385291
20	47	0.0384597
21	46	0.0384597
62	71	0.037867
63	70	0.037867
20	53	0.0377852
21	52	0.0377852
1	131	0.0376167
35	117	-0.0371696
3	113	-0.0369501
33	49	0.0364306
39	59	0.0361229
89	113	0.0355279
59	147	0.0348453
71	131	0.0341228
35	105	-0.0336684
61	147	0.03246
20	92	0.0323998
111	117	0.0323856
94	127	0.0314331
95	126	0.0314331
7	29	0.031311
30	136	0.0308778
41	109	0.0308138
37	109	0.0307668
47	143	0.0304197
41	91	0.0300299
16	92	0.0299663
47	53	0.029694
76	112	0.0292573
141	145	-0.0286959
109	127	0.0286787
2	104	0.0284598
6	44	0.0281185
29	95	0.0277672
59	61	0.0275857
46	93	0.0273709
47	92	0.0273709
18	24	0.0271618
100	144	0.0262777
7	136	0.0261303
6	137	0.0261303
17	96	0.0260714
16	97	0.0260714
11	89	0.0259009
20	96	0.0258112
33	145	0.0251007
103	105	-0.0248886
21	50	0.0248312
20	51	0.0248312
63	89	0.0244342
73	119	0.0243428
29	133	0.0236921
45	73	0.0236508
29	91	0.0235911
52	96	0.0234141
71	94	0.0234086
70	95	0.0234086
29	31	0.0230431
29	127	0.0230411
105	113	-0.0230198
72	94	0.0228902
16	50	0.0226343
35	113	0.0224866
30	45	0.0222936
31	44	0.0222936
77	103	0.021333
38	147	0.021097
39	146	0.021097
28	40	0.0209273
105	139	-0.0208525
9	42	0.0207866
8	43	0.0207866
71	113	0.0207749
95	130	0.0206527
94	131	0.0206527
46	51	0.0204305
47	50	0.0204305
93	143	0.0204012
63	76	0.0198946
62	77	0.0198946
32	129	0.0198918
33	128	0.0198918
62	102	0.0198863
71	148	0.0198142
70	149	0.0198142
1	72	0.0192664
0	73	0.0192664
102	112	0.0192645
20	46	0.0192299
62	70	0.0189335
20	52	0.0188926
1	130	0.0188084
0	131	0.0188084
35	116	-0.0185848
34	117	-0.0185848
2	113	-0.0184751
3	112	-0.0184751
77	95	0.01826
32	49	0.0182153
33	48	0.0182153
5	107	0.0181379
38	59	0.0180615
39	58	0.0180615
51	143	0.0180536
88	113	0.0177639
89	112	0.0177639
7	77	0.0175957
1	95	0.0175141
71	105	-0.0174928
58	147	0.0174226
59	146	0.0174226
71	111	-0.017165
70	131	0.0170614
71	130	0.0170614
83	117	-0.0170148
67	75	0.0169176
35	104	-0.0168342
34	105	-0.0168342
7	109	0.0167254
61	146	0.01623
60	147	0.01623
45	95	0.0162001
111	116	0.0161928
110	117	0.0161928
94	126	0.0157166
77	127	0.0156674
6	29	0.0156555
7	28	0.0156555
40	109	0.0154069
41	108	0.0154069
36	109	0.0153834
37	108	0.0153834
31	77	0.0153538
29	137	0.0152194
46	143	0.0152098
47	142	0.0152098
103	111	-0.01515
47	97	0.0150324
41	90	0.015015
40	91	0.015015
47	52	0.014847
46	53	0.014847
61	143	0.014725
5	137	0.0146522
140	145	-0.0143479
141	144	-0.0143479
109	126	0.0143393
108	127	0.0143393
129	145	0.0142438
127	143	0.0141935
29	94	0.0138836
28	95	0.0138836
103	149	0.0137944
58	61	0.0137929
59	60	0.0137929
46	92	0.0136855
63	107	0.013646
53	143	0.0131092
29	77	0.0130793
6	136	0.0130651
16	96	0.0130357
10	89	0.0129504
11	88	0.0129504
17	21	0.0127377
32	145	0.0125503
33	144	0.0125503
113	117	-0.0124448
103	104	-0.0124443
102	105	-0.0124443
20	50	0.0124156
63	88	0.0122171
62	89	0.0122171
73	118	0.0121714
72	119	0.0121714
103	117	-0.0119562
31	123	0.011945
3	71	-0.0119103
29	132	0.011846
28	133	0.011846
45	72	0.0118254
44	73	0.0118254
29	90	0.0117956
28	91	0.0117956
70	94	0.0117043
28	31	0.0115215
29	30	0.0115215
28	127	0.0115206
29	126	0.0115206
105	112	-0.0115099
104	113	-0.0115099
3	103	-0.0112734
35	112	0.0112433
34	113	0.0112433
30	44	0.0111468
31	95	0.0111336
73	131	0.0110968
73	127	0.0108515
47	61	0.0108075
76	103	0.0106665
77	102	0.0106665
38	146	0.0105485
1	63	0.0105418
5	57	0.0104313
119	131	0.010429
104	139	-0.0104263
105	138	-0.0104263
8	42	0.0103933
71	112	0.0103875
70	113	0.0103875
94	130	0.0103263
46	50	0.0102152
92	143	0.0102006
93	142	0.0102006
1	7	0.0101768
95	149	0.0101325
62	76	0.00994732
32	128	0.00994591
47	145	0.00992956
70	148	0.00990711
0	72	0.0096332
77	137	0.00947975
63	113	0.00947669
0	130	0.00940418
34	116	-0.00929241
21	35	0.0092881
2	112	-0.00923753
76	95	0.00913002
77	94	0.00913002
32	48	0.00910765
65	83	0.00907799
5	106	0.00906894
4	107	0.00906894
38	58	0.00903073
51	142	0.00902678
50	143	0.00902678
88	112	0.00888197
7	76	0.00879783
6	77	0.00879783
0	95	0.00875707
1	94	0.00875707
71	104	-0.00874642
70	105	-0.00874642
58	146	0.00871132
35	63	0.00864961
91	109	0.00863854
70	111	-0.00858251
71	110	-0.00858251
70	130	0.0085307
82	117	-0.00850742
83	116	-0.00850742
67	74	0.0084588
66	75	0.0084588
34	104	-0.00841709
7	108	0.00836268
6	109	0.00836268
35	83	0.00833693
59	93	0.00832449
60	146	0.008115
44	95	0.00810006
45	94	0.00810006
1	71	0.00809942
110	116	0.00809639
71	73	0.00795909
71	77	0.00793593
77	126	0.00783371
76	127	0.00783371
95	109	0.00782778
6	28	0.00782774
40	108	0.00770345
36	108	0.0076917
30	77	0.00767688
31	76	0.00767688
57	63	0.00764954
11	57	0.0076344
95	113	0.00763092
47	147	0.0076308
117	139	-0.00762136
29	136	0.00760971
28	137	0.00760971
127	137	0.00760779
46	142	0.00760491
102	111	-0.00757502
103	110	-0.00757502
47	96	0.00751618
46	97	0.00751618
