0	1	2
98	99	2
96	97	2
94	95	2
92	93	2
90	91	2
88	89	2
86	87	2
84	85	2
100	101	2
82	83	2
78	79	2
76	77	2
74	75	2
72	73	2
70	71	2
68	69	2
66	67	2
146	147	2
80	81	2
102	103	2
104	105	2
106	107	2
144	145	2
142	143	2
140	141	2
138	139	2
136	137	2
134	135	2
132	133	2
130	131	2
128	129	2
126	127	2
124	125	2
122	123	2
120	121	2
118	119	2
116	117	2
114	115	2
112	113	2
110	111	2
108	109	2
64	65	2
62	63	2
148	149	2
32	33	2
40	41	2
38	39	2
4	5	2
36	37	2
34	35	2
60	61	2
30	31	2
28	29	2
26	27	2
6	7	2
8	9	2
10	11	2
12	13	2
24	25	2
22	23	2
20	21	2
18	19	2
16	17	2
42	43	2
14	15	2
46	47	2
48	49	2
50	51	2
58	59	2
56	57	2
54	55	2
2	3	2
44	45	2
52	53	2
3	47	3.61167e-07
2	47	1.80584e-07
3	46	1.80584e-07
67	79	1.60219e-07
61	65	1.38716e-07
2	46	9.02918e-08
66	79	8.01096e-08
67	78	8.01096e-08
61	64	6.9358e-08
60	65	6.9358e-08
1	137	6.24002e-08
83	123	6.04219e-08
65	137	5.03085e-08
66	78	4.00548e-08
60	64	3.4679e-08
1	136	3.12001e-08
0	137	3.12001e-08
83	122	3.0211e-08
82	123	3.0211e-08
65	136	2.51543e-08
64	137	2.51543e-08
25	147	2.43664e-08
25	137	1.89534e-08
0	136	1.56001e-08
82	122	1.51055e-08
61	137	1.44642e-08
41	139	1.32287e-08
64	136	1.25771e-08
1	7	1.23645e-08
25	146	1.21832e-08
24	147	1.21832e-08
